city,lat,lon,population
北海道,43.06416667,141.3469444,70.2
青森,40.82444444,140.74,142.4
岩手,39.70361111,141.1525,87.1
宮城,38.26888889,140.8719444,322.3
秋田,39.71861111,140.1025,93.3
山形,38.24055556,140.3633333,125.4
福島,37.75,140.4677778,147.2
茨城,36.34138889,140.4466667,487.2
栃木,36.56583333,139.8836111,313.3
群馬,36.39111111,139.0608333,315.6
埼玉,35.85694444,139.6488889,1894.2
千葉,35.60472222,140.1233333,1205.5
東京,35.68944444,139.6916667,6015.7
神奈川,35.44777778,139.6425,3745.4
新潟,37.90222222,139.0236111,188.7
富山,36.69527778,137.2113889,257.4
石川,36.59444444,136.6255556,279.5
福井,36.06527778,136.2219444,192.4
山梨,35.66388889,138.5683333,193.3
長野,36.65138889,138.1811111,158.7
岐阜,35.39111111,136.7222222,195.9
静岡,34.97694444,138.3830556,483.9
愛知,35.18027778,136.9066667,1434.8
三重,34.73027778,136.5086111,321
滋賀,35.00444444,135.8683333,351.2
京都,35.02138889,135.7555556,571.4
大阪,34.68638889,135.52,4669.7
兵庫,34.69138889,135.1830556,665.6
奈良,34.68527778,135.8327778,379.5
和歌山,34.22611111,135.1675,212
鳥取,35.50361111,134.2383333,167.8
島根,35.47222222,133.0505556,107
岡山,34.66166667,133.935,273.5
広島,34.39638889,132.4594444,337.4
山口,34.18583333,131.4713889,237.4
徳島,34.06583333,134.5594444,189.4
香川,34.34027778,134.0433333,530.7
愛媛,33.84166667,132.7661111,252.1
高知,33.55972222,133.5311111,107.6
福岡,33.60638889,130.4180556,1019
佐賀,33.24944444,130.2988889,348.3
長崎,32.74472222,129.8736111,347.5
熊本,32.78972222,130.7416667,245.4
大分,33.23805556,131.6125,188.7
宮崎,31.91111111,131.4238889,146.7
鹿児島,31.56027778,130.5580556,185.7
沖縄,26.2125,127.6811111,611.9
